Mediciones
82.74
84.96
87.28
86.95
85.62
86.24
87.23
87.16
85.15
85.43
82.91
81.92
83.69
83.93
84.8
86.62
88.24
88.4
87.4
87.27
88.47
87.28
85.93
86.38
86.85
84.94
77.26
81.42
85.7
83.9
77.81
80.55
88.83
86.89
82.72
82.69
87.55
86.6
83.37
84.37
87.83
86.94
84.91
85.33
79.92
78.88
80.58
79.99
84.19
84.09
86.62
83.2
83.32
84.94
82.92
79.43
86.16
85.42
87.94
87.93
86.39
85.12
87.54
88.12
86.35
85.72
87.22
87.99
90.45
88.3
88.09
86.02
87.17
88.94
89.22
88.95
84.47
82.93
76.86
80.82
80.11
73.37
70.41
75.15
84.94
85.11
87.29
87.61
86.15
86.81
89.61
88.18
89
88.78
86.31
85.78
85.18
83.89
87.41
88.11
86.54
77.88
74.5
74.78
86.38
84.87
82.57
83.97
85.43
83.11
84.75
85.3
87.27
86.84
85.54
85.61
85.8
87.11
84.62
85.97
84.66
85.1
85.7
87.07
84.65
84.77
85.01
82.06
85.4
85.03
84.44
85.85
80.79
76.17
78.07
80.28
85.59
85.3
87.41
87.32
86.1
88.39
90.79
90.78
87.51
86.4
85.49
87.15
87.67
87.39
78.81
80.39
82.98
83.06
81.15
80.6
83.12
83.84
80.14
79.26
82.22
84.96
88.52
89.52
84.69
84.89
83.69
86.35
84.74
78.21
82.63
83.95
83.7
83.92
82.93
75.52
77.75
80.42
86.89
87.52
90.36
89.98
84.95
86.06
90.39
91.07
92.3
90.82
90.92
90.57
90.44
89.27
85.22
85.29
88.75
89.75
88.79
88.03
90.38
89.12
87.21
87.31
79.65
86.51
87.66
89.51
89.42
91.38
90.62
91.56
90.58
87.06
89.17
89.31
90.54
90.05
89.94
89.9
89.33
90.21
88.27
87.53
87.26
88.38
88.1
84.79
85.76
88.76
86.82
78.49
77.41
70.94
74.95
83.48
85.28
89.07
88.25
88.24
88.65
89.46
89.92
90.5
89.03
88.23
87.77
90.43
90.03
91.13
90.43
89.42
85.75
84.07
85.61
88.15
89.35
82.4
86.05
87.35
88.34
86.19
87.48
89.73
89.91
89.73
90.14
91.44
91.28
92.37
91.77
89.56
89.9
91.19
91.56
88.57
89.2
86.94
80.11
75.35
78.42
87.71
87.48
87.16
88.16
90.3
90.63
89.21
82.55
79.83
80.97
79.27
84.12
88.04
86.88
84.99
85.75
85.98
86.91
88.36
88.02
86.63
86.49
84.83
84.95
83.96
85.42
88.83
89.72
90
89.14
85.56
86.87
91.89
89.81
87.51
88.27
86.48
86.93
85.9
85.11
84.24
84.19
86.63
88.67
90.67
90.86
90.51
90.11
80.48
86.76
92.02
91.3
91.48
91.95
92.67
92.49
92.17
91.61
92.17
93.11
93.57
93.12
92.53
93.15
92.64
92.91
90.77
90.44
89.35
87.12
85.74
85.9
86.2
85.84
86.53
85.63
85.4
86.44
88.92
89.33
88.35
88.86
88.45
89.01
90.87
90.31
89.49
89.22
87.74
87.93
90.21
90.59
91.23
90.18
88.58
89.01
88.99
89.49
91.79
91.61
89.95
90.48
90.85
88.28
82.74
85.97
90.2
87.59
84.97
84.1
86.56
89.14
92.44
92.56
92.22
91.89
90.47
91.13
92.66
92.03
94.32
93.89
88.93
88.89
89.16
89.55
90.39
90.86
91.49
91.74
90.04
89.34
87.04
87.93
88.02
87.98
85.88
87.05
84.39
85.35
87.95
88.51
88.69
88.02
87.2
86.67
87.23
88.49
89.37
87.59
87.84
86.34
87.49
88.76
91.42
90.54
90.62
91.11
89.82
90.33
87.94
88.22
90.83
90.9
91.68
91.74
87.17
89.22
90.24
90.4
92.18
92.3
93.07
92.92
92.44
91.25
91.76
91.35
90.51
91.04
87.25
86.63
87.3
87.55
87.4
88
88.75
88.75
89.75
90.15
91.02
90.56
89.72
89.85
89.05
89.58
86.11
84.44
82.58
83.51
88.43
88.58
91.81
91.7
90.45
90.31
90.69
90.09
88.77
88.29
88.12
89.33
89.11
89.07
89.89
89.47
86.39
87.01
92
89.83
89.69
88.69
84.03
84.93
89.23
89.43
89.2
90.46
92.25
93.03
92.44
91.88
89.5
89.42
89.99
90.75
89.55
86.85
85.82
86.85
90.72
89.49
86.14
87.14
87.08
86.37
86.95
86.34
82.55
84.88
87.92
89.57
92.43
92.98
92.15
90.67
90.99
89.93
90.6
89.62
86.89
85.88
87.19
87.77
87.71
87.05
85.82
87.3
89.93
90.09
89.34
89.03
87.11
88.2
88.81
89.15
87.3
88.12
87.74
86.02
86.03
86.95
88.29
89.04
91.93
91.78
90.49
90.02
90.33
89.86
90.44
91.3
91.33
90.42
89.43
89.48
87.74
88.03
88.25
86.35
85.32
86.64
88.35
87.86
88.62
88.24
82.93
80.9
80.92
79.9
80.14
80.13
83.15
83.09
81.42
82.92
85.56
85.73
86.11
85.57
86.35
85.78
84.09
85.29
81.12
80.95
84.96
85.56
83.43
83.5
83.98
84.55
83.77
84.19
86.57
87.49
89.88
89.07
86.75
86.98
87.84
88.3
89.22
90.14
91.59
91.11
85.34
84.38
84.84
85.19
85.54
86.68
87.3
89.01
88.62
89.06
87.57
86.96
82.66
85.6
87.59
86.64
88.43
88.25
89.34
88.73
86.98
86.68
87.48
87.07
88.19
88.18
88.53
88.88
88.86
87.6
86.86
86.16
87.2
86.65
84.65
85.05
85.18
85.32
85.99
85.22
84.82
84.75
87
86.81
90.37
89.85
85.7
87.06
90.13
90.24
